time,lc1,lc2,lc3,lc4
42,19.5,55.84,-1.99,-27.55
136,26.57,55.07,-1.69,-26.86
232,31.22,53.97,-4.57,-28.15
327,33.53,54.38,-5.82,-28.29
423,31.96,54.38,-5.73,-29.3
518,27.53,54.0,-4.82,-30.7
614,22.73,54.41,-5.03,-31.21
710,12.79,54.41,-6.24,-29.32
806,13.88,53.5,-8.05,-29.83
901,23.68,52.29,-5.82,-31.88
997,23.35,52.86,-4.52,-33.08
1092,21.86,53.52,-9.07,-33.86
1188,16.32,54.06,-13.15,-34.74
1284,15.19,53.79,-13.5,-34.14
1379,13.92,55.02,-11.27,-34.51
1474,11.61,56.38,-11.95,-36.46
1570,14.39,57.66,-14.01,-34.51
1666,18.97,59.39,-16.75,-32.87
1762,23.53,59.32,-17.68,-33.98
1857,18.75,60.5,-17.63,-37.43
1952,22.39,60.98,-19.67,-38.33
2048,19.04,60.59,-22.2,-37.78
2144,7.81,60.87,-24.47,-36.39
2239,11.87,61.55,-28.62,-36.53
2334,14.68,62.94,-31.9,-38.08
2430,13.88,62.89,-33.96,-38.03
2526,8.76,63.12,-33.15,-38.58
2621,7.78,63.25,-32.2,-40.4
2717,7.58,62.46,-32.31,-38.03
2813,9.87,60.55,-34.28,-36.21
2909,4.45,60.55,-37.86,-36.69
3004,3.11,60.18,-37.09,-39.57
3100,6.0,61.25,-34.12,-38.38
3197,7.96,62.21,-35.28,-37.27
3295,4.43,62.09,-38.46,-36.88
3392,6.09,61.87,-41.22,-37.18
3491,5.85,61.46,-41.08,-39.18
3588,7.47,61.87,-39.85,-39.16
3686,12.59,62.73,-40.73,-38.91
3784,7.36,64.0,-40.55,-38.24
3881,4.54,62.94,-39.02,-39.32
3979,0.04,63.34,-38.62,-39.6
4077,7.23,63.73,-42.45,-37.89
4174,9.7,63.69,-45.0,-39.94
4272,11.85,63.84,-43.28,-41.55
4369,11.43,63.48,-39.64,-41.62
4467,14.1,64.14,-40.78,-40.01
4565,7.38,64.55,-44.03,-39.69
4663,1.98,64.96,-44.19,-40.4
4760,8.85,65.66,-44.49,-41.21
4859,9.32,65.41,-43.86,-41.51
4956,8.05,65.89,-45.81,-41.51
5053,8.65,67.26,-48.53,-41.48
5151,8.03,66.46,-46.86,-41.19
5249,11.05,65.55,-46.53,-41.05
5347,12.03,65.41,-49.73,-40.24
5444,11.63,65.89,-49.01,-43.67
5543,16.63,66.41,-47.37,-42.57
5640,14.39,67.6,-46.25,-39.76
5737,9.94,68.64,-45.28,-41.88
5836,8.03,69.26,-44.89,-42.45
5933,10.81,69.67,-42.26,-42.15
6031,13.92,68.76,-42.64,-40.93
6128,10.03,67.32,-43.1,-41.99
6226,6.67,67.51,-41.48,-43.03
6324,7.43,69.67,-39.36,-42.01
6421,6.23,69.92,-37.3,-41.6
